Data,Kliknięcia,Wyświetlenia,CTR,Pozycja
2026-08-08,0,0,,
2026-08-09,0,0,,
2026-08-10,0,0,,
2026-08-11,0,2,0%,47.5
2026-08-12,0,3,0%,38.7
2026-08-13,1,1,100%,1
2026-08-14,0,2,0%,92.5
2026-08-15,0,0,,
2026-08-16,0,0,,
2026-08-17,0,0,,
2026-08-18,0,0,,
2026-08-19,0,6,0%,33.7
2026-08-20,0,1,0%,5
2026-08-21,0,2,0%,1.5
2026-08-22,0,1,0%,6
2026-08-23,0,0,,
2026-08-24,1,4,25%,45.2
2026-08-25,0,2,0%,2
2026-08-26,0,1,0%,87
2026-08-27,0,4,0%,54.5
2026-08-28,1,2,50%,1.5
2026-08-29,0,3,0%,39.3
2026-08-30,0,1,0%,85
2026-08-31,0,2,0%,4.5
2026-09-01,0,0,,
2026-09-02,0,4,0%,55
2026-09-03,1,1,100%,1
2026-09-04,0,2,0%,2
2026-09-05,0,0,,
2026-09-06,0,1,0%,8
2026-09-07,1,5,20%,15.8
2026-09-08,1,1,100%,1
